Sex Age Survival
male 23 no
female 40 yes
male 40 yes
male 30 no
male 28 no
male 40 no
female 45 no
male 62 no
male 65 no
female 45 no
female 25 no
male 28 yes
male 28 no
male 23 no
female 22 yes
female 23 yes
male 28 yes
female 15 yes
female 47 no
male 57 no
female 20 yes
male 18 yes
male 25 no
male 60 no
male 25 yes
male 20 yes
male 32 yes
femlae 32 yes
female 24 yes
male 30 yes
male 15 no
female 50 no
female 21 yes
male 25 no
male 46 yes
female 32 yes
male 30 no
male 25 no
male 25 no
male 25 no
male 30 no
male 35 no
male 23 yes
male 24 no
female 25 yes
